Title,Date1,Date2,Time,Location,Summary,Description,id
Paws to Relax: Weekly Pet Therapy Program,"Wednesday, November 13","November 13, 2024",7 - 8 p.m. Weekly (to Dec 12),"Well-being Lab (Room 104), Wellness & Meaning-...",Volunteers through Animal Friend’s Therapet program join us weekly on Wednesdays from 7-8 p.m. to offer some friendly dog companions for the hour.,Volunteers through Animal Friend’s Therapet program join us weekly on Wednesdays from 7-8 p.m. to offer some friendly dog companions for the hour.,10244
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Wednesday, November 13","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
"Like, Totally Transformative: CMU in the 1980s","Wednesday, November 13","Aug. 30 - Nov. 27, 2024",All Day,Hunt Library Gallery,"This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!","This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!",10974
Mini-2 drop deadline; withdrawal grade assigned after this date,"Wednesday, November 13","November 13, 2024",All Day,,,"  The Academic Calendar includes registration dates, class start dates, add/drop deadlines, exam dates, and more. Doctoral course-sections follow a separate academic calendar.    Calendars for Heinz College, Tepper School of Business graduate courses, CMU-Africa, CMU-Australia, and CMU-Qatar can be found on The HUB Academic Calendar web page. ",12416
Native American Heritage Month,"Wednesday, November 13","November 1 - 30, 2024",All Day,,,"Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs.",9919
17th International Exhibition of Botanical Art & Illustration,"Thursday, November 14","November 14, 2024",9 a.m. - 5 p.m. M-F (to Dec 17),"Hunt Institute for Botanical Documentation, 5th Fl...",This Hunt Institute for Botanical Documentation exhibition includes 43 artworks by 43 artists representing 19 countries.,This Hunt Institute for Botanical Documentation exhibition includes 43 artworks by 43 artists representing 19 countries.,8444
CMU Pantry Hours,"Thursday, November 14","November 14, 2024",2 - 5 p.m. Weekly (to Dec 20),CMU Pantry,The CMU Pantry is a free resource that combats food insecurity by providing food assistance to CMU students and their dependents.,The CMU Pantry is a free resource that combats food insecurity by providing food assistance to CMU students and their dependents.,10104
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Thursday, November 14","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
"Like, Totally Transformative: CMU in the 1980s","Thursday, November 14","Aug. 30 - Nov. 27, 2024",All Day,Hunt Library Gallery,"This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!","This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!",10974
Native American Heritage Month,"Thursday, November 14","November 1 - 30, 2024",All Day,,,"Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs.",9919
17th International Exhibition of Botanical Art & Illustration,"Friday, November 15","November 15, 2024",9 a.m. - 5 p.m. M-F (to Dec 17),"Hunt Institute for Botanical Documentation, 5th Fl...",This Hunt Institute for Botanical Documentation exhibition includes 43 artworks by 43 artists representing 19 countries.,This Hunt Institute for Botanical Documentation exhibition includes 43 artworks by 43 artists representing 19 countries.,8445
CMU Pantry Hours,"Friday, November 15","November 15, 2024",Noon - 3 p.m. Weekly (to Dec 20),CMU Pantry,The CMU Pantry is a free resource that combats food insecurity by providing food assistance to CMU students and their dependents.,The CMU Pantry is a free resource that combats food insecurity by providing food assistance to CMU students and their dependents.,10123
Black Women’s Support Group,"Friday, November 15","November 15, 2024",4 - 5:15 p.m. Weekly (to Dec 20),,"A supportive, virtual space for students who identify as Black women, facilitated by Black female therapists.","A supportive, virtual space for students who identify as Black women, facilitated by Black female therapists.",10876
Guru Nanak Ji’s Birthday,"Friday, November 15","November 15, 2024",All Day,,,"  This day commemorates the birth of the founder of Sikhism, Guru Nanak Ji.    Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs. ",9923
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Friday, November 15","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
