Title,Date1,Date2,Time,Location,Summary,Description,id
Women’s History Month,"Thursday, March 6, 2025","March 1 - 31, 2025",All Day,,,"Since 1980, Women’s History Month has celebrated the achievements and leadership of women in the United States.",12519
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Friday, March 7, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Lent / Great Lent,"Friday, March 7, 2025","March 6 - April 12, 2025",All Day,,,"This year, the season of Lent, which is honored by some Western Christians, and Great Lent of Eastern Orthodoxy, are overlapping. Observations include forms of fasting and prayer.",12499
Ramadan,"Friday, March 7, 2025","Feb. 28 - March 29, 2025",All Day,,,"Ramadan is one of the most important Muslim seasons, commemorating the revelation of the Qur’an to the Prophet Mohamed. Many Muslims fast from both food and drink between sunrise and sunset, honor halal food guidelines when they break the fast with the iftar meal, and spend more time reading the Qu’ran and praying, either alone or at a mosque.",12496
Spring Break; No Classes,"Friday, March 7, 2025","March 3 - 8, 2025",All Day,,,"  The Academic Calendar includes registration dates, class start dates, add/drop deadlines, exam dates, and more. Doctoral course-sections follow a separate academic calendar.    Calendars for Heinz College, Tepper School of Business graduate courses, CMU-Africa, CMU-Australia, and CMU-Qatar can be found on The HUB Academic Calendar web page. ",12385
Women’s History Month,"Friday, March 7, 2025","March 1 - 31, 2025",All Day,,,"Since 1980, Women’s History Month has celebrated the achievements and leadership of women in the United States.",12519
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Saturday, March 8, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
International Women’s Day,"Saturday, March 8, 2025","March 8, 2025",All Day,,,"Growing from European and North American suffrage and labor movements in the twentieth century, International Women’s Day highlights both present and past leadership of women and ongoing advocacy for women’s rights throughout the world.",12520
Lent / Great Lent,"Saturday, March 8, 2025","March 6 - April 12, 2025",All Day,,,"This year, the season of Lent, which is honored by some Western Christians, and Great Lent of Eastern Orthodoxy, are overlapping. Observations include forms of fasting and prayer.",12499
Ramadan,"Saturday, March 8, 2025","Feb. 28 - March 29, 2025",All Day,,,"Ramadan is one of the most important Muslim seasons, commemorating the revelation of the Qur’an to the Prophet Mohamed. Many Muslims fast from both food and drink between sunrise and sunset, honor halal food guidelines when they break the fast with the iftar meal, and spend more time reading the Qu’ran and praying, either alone or at a mosque.",12496
Women’s History Month,"Saturday, March 8, 2025","March 1 - 31, 2025",All Day,,,"Since 1980, Women’s History Month has celebrated the achievements and leadership of women in the United States.",12519
Spring Break; No Classes,"Saturday, March 8, 2025","March 3 - 8, 2025",Midnight,,,"  The Academic Calendar includes registration dates, class start dates, add/drop deadlines, exam dates, and more. Doctoral course-sections follow a separate academic calendar.    Calendars for Heinz College, Tepper School of Business graduate courses, CMU-Africa, CMU-Australia, and CMU-Qatar can be found on The HUB Academic Calendar web page. ",12385
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Sunday, March 9, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Lent / Great Lent,"Sunday, March 9, 2025","March 6 - April 12, 2025",All Day,,,"This year, the season of Lent, which is honored by some Western Christians, and Great Lent of Eastern Orthodoxy, are overlapping. Observations include forms of fasting and prayer.",12499
Ramadan,"Sunday, March 9, 2025","Feb. 28 - March 29, 2025",All Day,,,"Ramadan is one of the most important Muslim seasons, commemorating the revelation of the Qur’an to the Prophet Mohamed. Many Muslims fast from both food and drink between sunrise and sunset, honor halal food guidelines when they break the fast with the iftar meal, and spend more time reading the Qu’ran and praying, either alone or at a mosque.",12496
Women’s History Month,"Sunday, March 9, 2025","March 1 - 31, 2025",All Day,,,"Since 1980, Women’s History Month has celebrated the achievements and leadership of women in the United States.",12519
First day of Mini-4 Classes,"Monday, March 10, 2025","March 10, 2025",All Day,,,"  The Academic Calendar includes registration dates, class start dates, add/drop deadlines, exam dates, and more. Doctoral course-sections follow a separate academic calendar.    Calendars for Heinz College, Tepper School of Business graduate courses, CMU-Africa, CMU-Australia, and CMU-Qatar can be found on The HUB Academic Calendar web page. ",12384
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Monday, March 10, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Lent / Great Lent,"Monday, March 10, 2025","March 6 - April 12, 2025",All Day,,,"This year, the season of Lent, which is honored by some Western Christians, and Great Lent of Eastern Orthodoxy, are overlapping. Observations include forms of fasting and prayer.",12499
Ramadan,"Monday, March 10, 2025","Feb. 28 - March 29, 2025",All Day,,,"Ramadan is one of the most important Muslim seasons, commemorating the revelation of the Qur’an to the Prophet Mohamed. Many Muslims fast from both food and drink between sunrise and sunset, honor halal food guidelines when they break the fast with the iftar meal, and spend more time reading the Qu’ran and praying, either alone or at a mosque.",12496
Women’s History Month,"Monday, March 10, 2025","March 1 - 31, 2025",All Day,,,"Since 1980, Women’s History Month has celebrated the achievements and leadership of women in the United States.",12519
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Tuesday, March 11, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Lent / Great Lent,"Tuesday, March 11, 2025","March 6 - April 12, 2025",All Day,,,"This year, the season of Lent, which is honored by some Western Christians, and Great Lent of Eastern Orthodoxy, are overlapping. Observations include forms of fasting and prayer.",12499
Ramadan,"Tuesday, March 11, 2025","Feb. 28 - March 29, 2025",All Day,,,"Ramadan is one of the most important Muslim seasons, commemorating the revelation of the Qur’an to the Prophet Mohamed. Many Muslims fast from both food and drink between sunrise and sunset, honor halal food guidelines when they break the fast with the iftar meal, and spend more time reading the Qu’ran and praying, either alone or at a mosque.",12496
Summer 2025 Registration Opens,"Tuesday, March 11, 2025","March 11, 2025",All Day,,,"  The Academic Calendar includes registration dates, class start dates, add/drop deadlines, exam dates, and more. Doctoral course-sections follow a separate academic calendar.    Calendars for Heinz College, Tepper School of Business graduate courses, CMU-Africa, CMU-Australia, and CMU-Qatar can be found on The HUB Academic Calendar web page. ",12383
Women’s History Month,"Tuesday, March 11, 2025","March 1 - 31, 2025",All Day,,,"Since 1980, Women’s History Month has celebrated the achievements and leadership of women in the United States.",12519
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Wednesday, March 12, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Lent / Great Lent,"Wednesday, March 12, 2025","March 6 - April 12, 2025",All Day,,,"This year, the season of Lent, which is honored by some Western Christians, and Great Lent of Eastern Orthodoxy, are overlapping. Observations include forms of fasting and prayer.",12499
Mid-Semester & Mini-3 grades due by,"Wednesday, March 12, 2025","March 12, 2025",All Day,,,"  The Academic Calendar includes registration dates, class start dates, add/drop deadlines, exam dates, and more. Doctoral course-sections follow a separate academic calendar.    Calendars for Heinz College, Tepper School of Business graduate courses, CMU-Africa, CMU-Australia, and CMU-Qatar can be found on The HUB Academic Calendar web page. ",12382
Ramadan,"Wednesday, March 12, 2025","Feb. 28 - March 29, 2025",All Day,,,"Ramadan is one of the most important Muslim seasons, commemorating the revelation of the Qur’an to the Prophet Mohamed. Many Muslims fast from both food and drink between sunrise and sunset, honor halal food guidelines when they break the fast with the iftar meal, and spend more time reading the Qu’ran and praying, either alone or at a mosque.",12496
Women’s History Month,"Wednesday, March 12, 2025","March 1 - 31, 2025",All Day,,,"Since 1980, Women’s History Month has celebrated the achievements and leadership of women in the United States.",12519
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Thursday, March 13, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Lent / Great Lent,"Thursday, March 13, 2025","March 6 - April 12, 2025",All Day,,,"This year, the season of Lent, which is honored by some Western Christians, and Great Lent of Eastern Orthodoxy, are overlapping. Observations include forms of fasting and prayer.",12499
Purim,"Thursday, March 13, 2025","March 13 - 14, 2025",All Day,,,"On March 13-14, Jews celebrate Purim with a feast and gifts of charity for people in need. They remember the story of Queen Esther and the survival of the Jewish people in the face of annihilation.",12500
Ramadan,"Thursday, March 13, 2025","Feb. 28 - March 29, 2025",All Day,,,"Ramadan is one of the most important Muslim seasons, commemorating the revelation of the Qur’an to the Prophet Mohamed. Many Muslims fast from both food and drink between sunrise and sunset, honor halal food guidelines when they break the fast with the iftar meal, and spend more time reading the Qu’ran and praying, either alone or at a mosque.",12496
Women’s History Month,"Thursday, March 13, 2025","March 1 - 31, 2025",All Day,,,"Since 1980, Women’s History Month has celebrated the achievements and leadership of women in the United States.",12519
Purim,"Friday, March 14, 2025","March 13 - 14, 2025",Midnight,,,"On March 13-14, Jews celebrate Purim with a feast and gifts of charity for people in need. They remember the story of Queen Esther and the survival of the Jewish people in the face of annihilation.",12500
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Friday, March 14, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Holi,"Friday, March 14, 2025","March 14, 2025",All Day,,,"On March 14, Hindus celebrate Holi, which is known as the Festival of Colors, Festival of Spring, and the Festival of Love. It marks the arrival of spring, the divine love of Radha Krishna, and the victory of good over evil with a celebration of color and maybe attendance at their temple. This year, CMU will hold its own celebration of Holi on April 6, the Sunday of Carnival weekend.",12501
Lent / Great Lent,"Friday, March 14, 2025","March 6 - April 12, 2025",All Day,,,"This year, the season of Lent, which is honored by some Western Christians, and Great Lent of Eastern Orthodoxy, are overlapping. Observations include forms of fasting and prayer.",12499
"Mini-4 add, audit & tuition adjustment drop deadline","Friday, March 14, 2025","March 14, 2025",All Day,,,"  The Academic Calendar includes registration dates, class start dates, add/drop deadlines, exam dates, and more. Doctoral course-sections follow a separate academic calendar.    Calendars for Heinz College, Tepper School of Business graduate courses, CMU-Africa, CMU-Australia, and CMU-Qatar can be found on The HUB Academic Calendar web page. ",12381
Ramadan,"Friday, March 14, 2025","Feb. 28 - March 29, 2025",All Day,,,"Ramadan is one of the most important Muslim seasons, commemorating the revelation of the Qur’an to the Prophet Mohamed. Many Muslims fast from both food and drink between sunrise and sunset, honor halal food guidelines when they break the fast with the iftar meal, and spend more time reading the Qu’ran and praying, either alone or at a mosque.",12496
Women’s History Month,"Friday, March 14, 2025","March 1 - 31, 2025",All Day,,,"Since 1980, Women’s History Month has celebrated the achievements and leadership of women in the United States.",12519
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Saturday, March 15, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Lent / Great Lent,"Saturday, March 15, 2025","March 6 - April 12, 2025",All Day,,,"This year, the season of Lent, which is honored by some Western Christians, and Great Lent of Eastern Orthodoxy, are overlapping. Observations include forms of fasting and prayer.",12499
Ramadan,"Saturday, March 15, 2025","Feb. 28 - March 29, 2025",All Day,,,"Ramadan is one of the most important Muslim seasons, commemorating the revelation of the Qur’an to the Prophet Mohamed. Many Muslims fast from both food and drink between sunrise and sunset, honor halal food guidelines when they break the fast with the iftar meal, and spend more time reading the Qu’ran and praying, either alone or at a mosque.",12496
Women’s History Month,"Saturday, March 15, 2025","March 1 - 31, 2025",All Day,,,"Since 1980, Women’s History Month has celebrated the achievements and leadership of women in the United States.",12519
(Softball) Wilmington (Ohio) vs. Carnegie Mellon,"Sunday, March 16, 2025","March 16, 2025",12:15 - 3:15 p.m.,Transylvania University Pioneer Classic,,"(Softball) Wilmington (Ohio) vs. Carnegie Mellon, Field 4",12467
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Sunday, March 16, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Lent / Great Lent,"Sunday, March 16, 2025","March 6 - April 12, 2025",All Day,,,"This year, the season of Lent, which is honored by some Western Christians, and Great Lent of Eastern Orthodoxy, are overlapping. Observations include forms of fasting and prayer.",12499
Ramadan,"Sunday, March 16, 2025","Feb. 28 - March 29, 2025",All Day,,,"Ramadan is one of the most important Muslim seasons, commemorating the revelation of the Qur’an to the Prophet Mohamed. Many Muslims fast from both food and drink between sunrise and sunset, honor halal food guidelines when they break the fast with the iftar meal, and spend more time reading the Qu’ran and praying, either alone or at a mosque.",12496
Women’s History Month,"Sunday, March 16, 2025","March 1 - 31, 2025",All Day,,,"Since 1980, Women’s History Month has celebrated the achievements and leadership of women in the United States.",12519
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Monday, March 17, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Lent / Great Lent,"Monday, March 17, 2025","March 6 - April 12, 2025",All Day,,,"This year, the season of Lent, which is honored by some Western Christians, and Great Lent of Eastern Orthodoxy, are overlapping. Observations include forms of fasting and prayer.",12499
Ramadan,"Monday, March 17, 2025","Feb. 28 - March 29, 2025",All Day,,,"Ramadan is one of the most important Muslim seasons, commemorating the revelation of the Qur’an to the Prophet Mohamed. Many Muslims fast from both food and drink between sunrise and sunset, honor halal food guidelines when they break the fast with the iftar meal, and spend more time reading the Qu’ran and praying, either alone or at a mosque.",12496
St. Patrick’s Day,"Monday, March 17, 2025","March 17, 2025",All Day,,,"Rooted in the Christian feast day of St. Patrick, the patron saint of Ireland, St. Patrick’s Day is a secular global holiday celebrating Irish culture.",12521
Women’s History Month,"Monday, March 17, 2025","March 1 - 31, 2025",All Day,,,"Since 1980, Women’s History Month has celebrated the achievements and leadership of women in the United States.",12519
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Tuesday, March 18, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Lent / Great Lent,"Tuesday, March 18, 2025","March 6 - April 12, 2025",All Day,,,"This year, the season of Lent, which is honored by some Western Christians, and Great Lent of Eastern Orthodoxy, are overlapping. Observations include forms of fasting and prayer.",12499
Ramadan,"Tuesday, March 18, 2025","Feb. 28 - March 29, 2025",All Day,,,"Ramadan is one of the most important Muslim seasons, commemorating the revelation of the Qur’an to the Prophet Mohamed. Many Muslims fast from both food and drink between sunrise and sunset, honor halal food guidelines when they break the fast with the iftar meal, and spend more time reading the Qu’ran and praying, either alone or at a mosque.",12496
Women’s History Month,"Tuesday, March 18, 2025","March 1 - 31, 2025",All Day,,,"Since 1980, Women’s History Month has celebrated the achievements and leadership of women in the United States.",12519
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Wednesday, March 19, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Lent / Great Lent,"Wednesday, March 19, 2025","March 6 - April 12, 2025",All Day,,,"This year, the season of Lent, which is honored by some Western Christians, and Great Lent of Eastern Orthodoxy, are overlapping. Observations include forms of fasting and prayer.",12499
Naw Rúz,"Wednesday, March 19, 2025","March 19 - 20, 2025",All Day,,,"Rooted in Zoroastrianism, March 20 or 21 is the New Year celebration for Bahá’ís and Iranians. For some, it marks the end of 19 days of fasting. Naw Rúz celebrations include a feast with traditional and symbolic foods and giving gifts.",12502
Ramadan,"Wednesday, March 19, 2025","Feb. 28 - March 29, 2025",All Day,,,"Ramadan is one of the most important Muslim seasons, commemorating the revelation of the Qur’an to the Prophet Mohamed. Many Muslims fast from both food and drink between sunrise and sunset, honor halal food guidelines when they break the fast with the iftar meal, and spend more time reading the Qu’ran and praying, either alone or at a mosque.",12496
Women’s History Month,"Wednesday, March 19, 2025","March 1 - 31, 2025",All Day,,,"Since 1980, Women’s History Month has celebrated the achievements and leadership of women in the United States.",12519
Naw Rúz,"Thursday, March 20, 2025","March 19 - 20, 2025",Midnight,,,"Rooted in Zoroastrianism, March 20 or 21 is the New Year celebration for Bahá’ís and Iranians. For some, it marks the end of 19 days of fasting. Naw Rúz celebrations include a feast with traditional and symbolic foods and giving gifts.",12502
CMU Chorus & Singers,"Thursday, March 20, 2025",Today,7:30 - 9:30 p.m.,"Alumni Concert Hall, College of Fine Arts @ 5000 F...",,,11591
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Thursday, March 20, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Lent / Great Lent,"Thursday, March 20, 2025","March 6 - April 12, 2025",All Day,,,"This year, the season of Lent, which is honored by some Western Christians, and Great Lent of Eastern Orthodoxy, are overlapping. Observations include forms of fasting and prayer.",12499
Ostara,"Thursday, March 20, 2025","March 20, 2025",All Day,,,"On March 20, Wiccans and Neo-pagans celebrate Ostara, which occurs on the Spring Equinox. It is named after the Anglo-Saxon goddess, Eostre. Ostara rituals and gatherings focus on fertility, rebirth, and renewal.",12503
Ramadan,"Thursday, March 20, 2025","Feb. 28 - March 29, 2025",All Day,,,"Ramadan is one of the most important Muslim seasons, commemorating the revelation of the Qur’an to the Prophet Mohamed. Many Muslims fast from both food and drink between sunrise and sunset, honor halal food guidelines when they break the fast with the iftar meal, and spend more time reading the Qu’ran and praying, either alone or at a mosque.",12496
Women’s History Month,"Thursday, March 20, 2025","March 1 - 31, 2025",All Day,,,"Since 1980, Women’s History Month has celebrated the achievements and leadership of women in the United States.",12519
(Men’s Tennis) St. Francis (Pa.) vs. Carnegie Mellon,"Friday, March 21, 2025","March 21, 2025",All Day,,,(Men’s Tennis) St. Francis (Pa.) vs. Carnegie Mellon,11810
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Friday, March 21, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Lent / Great Lent,"Friday, March 21, 2025","March 6 - April 12, 2025",All Day,,,"This year, the season of Lent, which is honored by some Western Christians, and Great Lent of Eastern Orthodoxy, are overlapping. Observations include forms of fasting and prayer.",12499
Ramadan,"Friday, March 21, 2025","Feb. 28 - March 29, 2025",All Day,,,"Ramadan is one of the most important Muslim seasons, commemorating the revelation of the Qur’an to the Prophet Mohamed. Many Muslims fast from both food and drink between sunrise and sunset, honor halal food guidelines when they break the fast with the iftar meal, and spend more time reading the Qu’ran and praying, either alone or at a mosque.",12496
Women’s History Month,"Friday, March 21, 2025","March 1 - 31, 2025",All Day,,,"Since 1980, Women’s History Month has celebrated the achievements and leadership of women in the United States.",12519
(Men’s Tennis) Stevens vs. Carnegie Mellon,"Saturday, March 22, 2025","March 22, 2025",All Day,,,(Men’s Tennis) Stevens vs. Carnegie Mellon,11808
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Saturday, March 22, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Lent / Great Lent,"Saturday, March 22, 2025","March 6 - April 12, 2025",All Day,,,"This year, the season of Lent, which is honored by some Western Christians, and Great Lent of Eastern Orthodoxy, are overlapping. Observations include forms of fasting and prayer.",12499
Ramadan,"Saturday, March 22, 2025","Feb. 28 - March 29, 2025",All Day,,,"Ramadan is one of the most important Muslim seasons, commemorating the revelation of the Qur’an to the Prophet Mohamed. Many Muslims fast from both food and drink between sunrise and sunset, honor halal food guidelines when they break the fast with the iftar meal, and spend more time reading the Qu’ran and praying, either alone or at a mosque.",12496
Women’s History Month,"Saturday, March 22, 2025","March 1 - 31, 2025",All Day,,,"Since 1980, Women’s History Month has celebrated the achievements and leadership of women in the United States.",12519
Carnegie Mellon Wind Ensemble,"Sunday, March 23, 2025",Today,2:30 - 4:30 p.m.,"Carnegie Music Hall, Oakland @ 4400 Forbes Avenue,...",,,11696
(Softball) Mount Union vs. Carnegie Mellon,"Sunday, March 23, 2025","March 23, 2025",All Day,,,(Softball) Mount Union vs. Carnegie Mellon,11803
(Softball) Mount Union vs. Carnegie Mellon,"Sunday, March 23, 2025","March 23, 2025",All Day,,,(Softball) Mount Union vs. Carnegie Mellon,11804
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Sunday, March 23, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Lent / Great Lent,"Sunday, March 23, 2025","March 6 - April 12, 2025",All Day,,,"This year, the season of Lent, which is honored by some Western Christians, and Great Lent of Eastern Orthodoxy, are overlapping. Observations include forms of fasting and prayer.",12499
Ramadan,"Sunday, March 23, 2025","Feb. 28 - March 29, 2025",All Day,,,"Ramadan is one of the most important Muslim seasons, commemorating the revelation of the Qur’an to the Prophet Mohamed. Many Muslims fast from both food and drink between sunrise and sunset, honor halal food guidelines when they break the fast with the iftar meal, and spend more time reading the Qu’ran and praying, either alone or at a mosque.",12496
Women’s History Month,"Sunday, March 23, 2025","March 1 - 31, 2025",All Day,,,"Since 1980, Women’s History Month has celebrated the achievements and leadership of women in the United States.",12519
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Monday, March 24, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Lent / Great Lent,"Monday, March 24, 2025","March 6 - April 12, 2025",All Day,,,"This year, the season of Lent, which is honored by some Western Christians, and Great Lent of Eastern Orthodoxy, are overlapping. Observations include forms of fasting and prayer.",12499
Ramadan,"Monday, March 24, 2025","Feb. 28 - March 29, 2025",All Day,,,"Ramadan is one of the most important Muslim seasons, commemorating the revelation of the Qur’an to the Prophet Mohamed. Many Muslims fast from both food and drink between sunrise and sunset, honor halal food guidelines when they break the fast with the iftar meal, and spend more time reading the Qu’ran and praying, either alone or at a mosque.",12496
Women’s History Month,"Monday, March 24, 2025","March 1 - 31, 2025",All Day,,,"Since 1980, Women’s History Month has celebrated the achievements and leadership of women in the United States.",12519
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Tuesday, March 25, 2025","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Lent / Great Lent,"Tuesday, March 25, 2025","March 6 - April 12, 2025",All Day,,,"This year, the season of Lent, which is honored by some Western Christians, and Great Lent of Eastern Orthodoxy, are overlapping. Observations include forms of fasting and prayer.",12499
Ramadan,"Tuesday, March 25, 2025","Feb. 28 - March 29, 2025",All Day,,,"Ramadan is one of the most important Muslim seasons, commemorating the revelation of the Qur’an to the Prophet Mohamed. Many Muslims fast from both food and drink between sunrise and sunset, honor halal food guidelines when they break the fast with the iftar meal, and spend more time reading the Qu’ran and praying, either alone or at a mosque.",12496
